ticker,company,sector,market_cap,revenue,net_income,total_debt,debt_to_equity,operating_margin,eps,eps_forward,return_on_equity,roe_pct,d_to_e,op_margin_pct,eps_growth_pct,score_roe,score_de,score_margin,score_eps_growth,health_score
AAPL,Apple Inc.,Technology,3739225686016,435617005568,117776998400,90509000704,102.63,0.35374,7.89,9.31526,1.5202099,152.02099,102.63,35.374,18.064131812420793,75.73300188873114,90.7009191343153,56.52620157766635,2.328908238427796,56.32225770978514
MSFT,Microsoft Corporation,Technology,2770195972096,305453006848,119262003200,123278000128,31.539,0.47094002,15.99,18.85049,0.34390998,34.390998,31.539,47.094002,17.88924327704816,16.23767687696931,97.63230532380302,73.7104513064133,2.298510362509348,47.46973596742375
NVDA,NVIDIA Corporation,Technology,4305144774656,215938007040,120066998272,11411999744,7.255,0.65024,4.9,11.11635,1.01485,101.485,7.255,65.024,126.86428571428571,50.17272513685356,100.0,100.0,21.239773785846904,67.85312473067512
GOOGL,Alphabet Inc.,Communication Services,3612527296512,402835996672,132169998336,66995998720,16.133,0.31568,10.81,13.42912,0.35705003,35.705003000000005,16.133,31.568,24.228677150786297,16.90227910309273,99.13439329042676,50.94572006686021,3.4003854732849157,42.59569448341616
META,"Meta Platforms, Inc.",Communication Services,1483457822720,200965996544,60458000384,85080997888,39.164,0.41314998,23.51,35.88,0.30238,30.238,39.164,41.314997999999996,52.61590812420247,14.137158449804943,96.88886635551106,65.23708688894753,8.334451179533911,46.14939071844936
ORCL,Oracle Corporation,Technology,421498912768,64076001280,16188000256,162164998144,415.265,0.32676,5.58,7.9729,0.57572,57.572,415.265,32.676,42.88351254480286,27.96224834585372,60.21894643241921,52.570305856133245,6.642835702387353,36.84858408419838
IBM,International Business Machines Corporation,Technology,231059783680,67534999552,10570999808,64606998528,197.328,0.24768999,11.15,13.40365,0.35158002,35.158001999999996,197.328,24.768999,20.21210762331839,16.62561494862472,81.46784589899566,40.97680273305769,2.702254050012137,35.44312940767255
TXN,Texas Instruments Incorporated,Technology,179115458560,17681999872,4973000192,14778999808,90.819,0.34027,5.46,7.9086,0.30148,30.148000000000003,90.819,34.027,44.84615384615385,14.091637922599103,91.85249390867548,54.5511861822234,6.983967993442174,41.86982150173504
QCOM,QUALCOMM Incorporated,Technology,138290479104,44866998272,5365000192,14817000448,64.218,0.27473,4.96,11.08936,0.2148,21.48,64.218,27.473,123.57580645161288,9.707505369041233,94.44609653104065,44.94149731679423,20.668193811355565,42.44082325705792
ADBE,Adobe Inc.,Technology,99104686080,24452999168,7208000000,6670000128,58.34,0.38762,17.16,26.35597,0.58774,58.774,58.34,38.762,53.58956876456876,28.570200275869475,95.01920266292527,61.49379783584059,8.503685916787948,48.39672167285582
JNJ,Johnson & Johnson,Healthcare,590220427264,94193000448,26804000768,49332998144,60.499,0.23966,11.02,12.56869,0.35029998,35.029998,60.499,23.966,14.053448275862074,16.56087262013076,94.80869974718202,39.79941937186593,1.6317998760488224,38.20019790380688
